label,text
ham,Hi how are you doing today?
spam,Congratulations! You have won a free iPhone. Click here now!
ham,Let's meet tomorrow at 10 AM.
spam,Win cash prizes worth ₹50000. Reply WIN now.
ham,Please send me the project report.
spam,You have been selected for a free vacation. Call now.
ham,Are you coming to college today?
spam,URGENT! Your account has won a lottery. Claim immediately.
ham,Happy Birthday! Have a wonderful day.
spam,Exclusive offer! Buy one get one free.
ham,Can we talk after class?
spam,Limited-time offer! Click the link to receive your reward.
ham,Don't forget our meeting at 3 PM.
spam,You have won ₹100000. Verify your details now.
ham,Thanks for your help yesterday.
spam,Free recharge available! Click to claim.
ham,See you in the library.
spam,Congratulations! You are our lucky winner.
ham,Please complete the assignment by Friday.
spam,Earn money from home with this amazing opportunity.